Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
usb-c-to-lightning-adapter,USB-C to Lightning Adapter,<p>USB-C to Lightning Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MUQX3FE/A,shopify,63,deny,manual,32.50,TRUE,TRUE,,,,active
usb-c-to-lightning-cable-1m,"USB-C to Lightning Cable, 1m","<p>USB-C to Lightning Cable, 1m by Apple for business and enterprise accessory needs.</p>",Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MUQ93FE/A,shopify,51,deny,manual,18.95,TRUE,TRUE,,,,active
usb-c-to-lightning-cable-2m,"USB-C to Lightning Cable, 2m","<p>USB-C to Lightning Cable, 2m by Apple for business and enterprise accessory needs.</p>",Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MUQC3FE/A,shopify,27,deny,manual,32.50,TRUE,TRUE,,,,active
usb-c-to-magsafe-3-cable-2-m,USB-C to MagSafe 3 Cable (2 m),<p>USB-C to MagSafe 3 Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MLYU3FE/A,shopify,26,deny,manual,55.72,TRUE,TRUE,,,,active
world-travel-adapter-kit,World Travel Adapter Kit,"<p>An adapter or adaptor is a device that converts attributes of one electrical device or system to those of an otherwise incompatible device or system. Some modify power or signal attributes, while others merely adapt the physical form of one connector to another.</p>",Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MD837ZM/A,shopify,21,deny,manual,45.03,TRUE,TRUE,,,,active
b3e-phonetablet-stand,B3E Phone/Tablet Stand,<p>B3E Phone/Tablet Stand by B3E for business and enterprise accessory needs.</p>,B3E,,Stands & Mounts,"b2b-catalog,market:australia,stands-mounts",TRUE,Title,Default Title,USPTLSTNDB,shopify,18,deny,manual,53.26,TRUE,TRUE,,,,active
hdmi-cable-with-ethernet-6ft-4k,"HDMI Cable with Ethernet, 6ft - 4k","<p>HDMI Cable with Ethernet, 6ft - 4k by Belkin for business and enterprise accessory needs.</p>",Belkin,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,HD-EC-050,shopify,17,deny,manual,8.00,TRUE,TRUE,,,,active
waverest-gel-mouse-pad-black,WaveRest® Gel Mouse Pad - Black,<p>WaveRest® Gel Mouse Pad - Black by Belkin for business and enterprise accessory needs.</p>,Belkin,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,55888,shopify,15,deny,manual,26.54,TRUE,TRUE,,,,active
1200mbps-long-range-usb-wifi-adapter-for-pc-desktop-laptop-of-windows,"1200Mbps Long Range USB WiFi Adapter for PC, Desktop, Laptop of Windows","<p>1200Mbps Long Range USB WiFi Adapter for PC, Desktop, Laptop of Windows by BrosTrend for business and enterprise accessory needs.</p>",BrosTrend,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,ARCHER T3U PLUS,shopify,12,deny,manual,40.44,TRUE,TRUE,,,,active
kc-6000-slim-keyboard-dell-layout,KC 6000 SLIM Keyboard (Dell Layout),<p>KC 6000 SLIM Keyboard (Dell Layout) by Cherry for business and enterprise accessory needs.</p>,Cherry,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,KC 6000 SLIM Keyboard (Dell Layout),shopify,0,deny,manual,73.49,TRUE,TRUE,,,,active
kc-6000-slim-keyboard-mac-layout,KC 6000 SLIM Keyboard (Mac Layout),<p>KC 6000 SLIM Keyboard (Mac Layout) by Cherry for business and enterprise accessory needs.</p>,Cherry,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,KC 6000 SLIM Keyboard (Mac Layout),shopify,0,deny,manual,69.58,TRUE,TRUE,,,,active
4k-dell-p2723qe-27-4k-usb-c-hub-monitor,"(4K) Dell P2723QE 27"" 4K USB-C Hub Monitor","<p>(4K) Dell P2723QE 27"" 4K USB-C Hub Monitor by Dell for business and enterprise accessory needs.</p>",Dell,,Docks & Hubs,"b2b-catalog,market:australia,docks-hubs",TRUE,Title,Default Title,P2723QE,shopify,0,deny,manual,734.33,TRUE,TRUE,,,,active
4k-dell-u2725qe-27-4k-usb-c-hub-monitor,"(4K) Dell U2725QE 27"" 4K USB-C Hub Monitor","<p>(4K) Dell U2725QE 27"" 4K USB-C Hub Monitor by Dell for business and enterprise accessory needs.</p>",Dell,,Docks & Hubs,"b2b-catalog,market:australia,docks-hubs",TRUE,Title,Default Title,U2725QE,shopify,0,deny,manual,734.33,TRUE,TRUE,,,,active
130w-usb-c-power-adapter,130W USB-C Power Adapter,<p>130W USB-C Power Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,450-BGHY,shopify,0,deny,manual,108.82,TRUE,TRUE,,,,active
90w-usb-c-power-adapter,90W USB-C Power Adapter,<p>90W USB-C Power Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,450-BCMN,shopify,479,deny,manual,44.81,TRUE,TRUE,,,,active
dell-pro-thunderbolt-4-smart-dock-sd25tb4,Dell Pro Thunderbolt 4 Smart Dock - SD25TB4,<p>Dell Pro Thunderbolt 4 Smart Dock - SD25TB4 by Dell for business and enterprise accessory needs.</p>,Dell,,Docks & Hubs,"b2b-catalog,market:australia,docks-hubs",TRUE,Title,Default Title,210-BRKN,shopify,244,deny,manual,327.19,TRUE,TRUE,,,,active
dell-thunderbolt-dock-wd22tb4,Dell Thunderbolt Dock – WD22TB4,<p>Dell Thunderbolt Dock – WD22TB4 by Dell for business and enterprise accessory needs.</p>,Dell,,Docks & Hubs,"b2b-catalog,market:australia,docks-hubs",TRUE,Title,Default Title,210-BEKX,shopify,70,deny,manual,293.18,TRUE,TRUE,,,,active
privacy-filter-for-156-laptop-dell-5540,"Privacy Filter for 15.6"" Laptop (Dell 5540)","<p>Privacy Filter for 15.6"" Laptop (Dell 5540) by Dell for business and enterprise accessory needs.</p>",Dell,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,460-BCYE,shopify,58,deny,manual,46.98,TRUE,TRUE,,,,active
usb-c-to-ethernet-adapter,USB-C to Ethernet Adapter,<p>USB-C to Ethernet Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,DA310,shopify,26,deny,manual,95.10,TRUE,TRUE,,,,active
internal-card-wifi-6e-bluetooth-52-pcie-wlan-card-intel-ax210-5400mbits-wlan-network-card-adapter,"""Internal Card"" WiFi 6E Bluetooth 5.2 PCIE WLAN Card Intel AX210 5400Mbit/s WLAN Network Card Adapter","<p>""Internal Card"" WiFi 6E Bluetooth 5.2 PCIE WLAN Card Intel AX210 5400Mbit/s WLAN Network Card Adapter by EDUP for business and enterprise accessory needs.</p>",EDUP,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,WL-WN675X3,shopify,23,deny,manual,78.08,TRUE,TRUE,,,,active
verticalmouse-4-left,VerticalMouse 4 Left,<p>VerticalMouse 4 Left by Evoluent for business and enterprise accessory needs.</p>,Evoluent,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,"SKU# AC38611, Model# VM4L",shopify,0,deny,manual,173.70,TRUE,TRUE,,,,active
verticalmouse-4-right,VerticalMouse 4 Right,<p>VerticalMouse 4 Right by Evoluent for business and enterprise accessory needs.</p>,Evoluent,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,"SKU# AC39408, Model# VMDL",shopify,0,deny,manual,173.70,TRUE,TRUE,,,,active
wireless-ac1200mbps-dual-band-pcie-wi-fi-adapter-with-bluetooth-42-24ghz-and-5ghz,Wireless AC1200Mbps Dual Band PCIE Wi-Fi Adapter with Bluetooth 4.2 (2.4GHz and 5GHz),<p>Wireless AC1200Mbps Dual Band PCIE Wi-Fi Adapter with Bluetooth 4.2 (2.4GHz and 5GHz) by FebSmart for business and enterprise accessory needs.</p>,FebSmart,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,"SKU# AC20576, Model# Archer T4E",shopify,0,deny,manual,35.84,TRUE,TRUE,,,,active
keyboard-wrist-rest,Keyboard Wrist Rest,<p>Keyboard Wrist Rest by Fellowes for business and enterprise accessory needs.</p>,Fellowes,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,"SKU# AC39360, Model# WRSTRST",shopify,0,deny,manual,27.53,TRUE,TRUE,,,,active
65w-usb-c-power-adapter,65W USB-C Power Adapter,<p>65W USB-C Power Adapter by HP for business and enterprise accessory needs.</p>,HP,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,671R2AA,shopify,0,deny,manual,41.87,TRUE,TRUE,,,,active
usb-c-power-adapter,USB-C Power Adapter,<p>USB-C Power Adapter by HP for business and enterprise accessory needs.</p>,HP,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,B7NK0AA,shopify,3000,deny,manual,109.37,TRUE,TRUE,,,,active
434362-wrist-gel-support-pad-and-mouse-mat-black-presidio-offering,"434362 / Wrist Gel Support Pad and Mouse Mat, Black (Presidio offering)","<p>434362 / Wrist Gel Support Pad and Mouse Mat, Black (Presidio offering) by IC INTRACOM for business and enterprise accessory needs.</p>",IC INTRACOM,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,WRSTRST,shopify,2000,deny,manual,23.52,TRUE,TRUE,,,,active
go-air-pop-true-wireless-earbuds,GO AIR POP True Wireless Earbuds,<p>GO AIR POP True Wireless Earbuds by JLab for business and enterprise accessory needs.</p>,JLab,,Headsets & Audio,"b2b-catalog,market:australia,headsets-audio",TRUE,Title,Default Title,GO AIR POP True Wireless Earbuds,shopify,2000,deny,manual,45.91,TRUE,TRUE,,,,active
magnetic-privacy-filter-for-precision-5480-156-1610,Magnetic Privacy Filter for Precision 5480 15.6” (16:10),<p>Magnetic Privacy Filter for Precision 5480 15.6” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58351WW,shopify,2000,deny,manual,56.53,TRUE,TRUE,,,,active
magnetic-privacy-filter-for-precision-5570-133-169,Magnetic Privacy Filter for Precision 5570 13.3” (16:9),<p>Magnetic Privacy Filter for Precision 5570 13.3” (16:9) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K55256WW,shopify,264,deny,manual,84.55,TRUE,TRUE,,,,active
magpro-elite-notebook-privacy-filter-14-macbook-pro,"MagPro Elite - notebook privacy filter (14"" MacBook Pro)","<p>MagPro Elite - notebook privacy filter (14"" MacBook Pro) by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58370WW,shopify,0,deny,manual,65.25,TRUE,TRUE,,,,active
magpro-elite-notebook-privacy-filter-16-macbook-pro,"MagPro Elite - notebook privacy filter (16"" MacBook Pro)","<p>MagPro Elite - notebook privacy filter (16"" MacBook Pro) by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58371WW,shopify,0,deny,manual,72.61,TRUE,TRUE,,,,active
orbit-wireless-trackball-with-scroll-ring,Orbit® Wireless Trackball with Scroll Ring,<p>Orbit® Wireless Trackball with Scroll Ring by Kensington for business and enterprise accessory needs.</p>,Kensington,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,72352,shopify,127,deny,manual,47.79,TRUE,TRUE,,,,active
privacy-filter-for-27-widescreen-monitor,"Privacy Filter for 27"" Widescreen Monitor","<p>Privacy Filter for 27"" Widescreen Monitor by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58359WW,shopify,93,deny,manual,160.84,TRUE,TRUE,,,,active
privacy-filter-for-precision-5480-133-169,Privacy Filter for Precision 5480 13.3” (16:9),<p>Privacy Filter for Precision 5480 13.3” (16:9) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58351WW,shopify,24,deny,manual,56.53,TRUE,TRUE,,,,active
privacy-filter-for-precision-5480-14-1610,Privacy Filter for Precision 5480 14” (16:10),<p>Privacy Filter for Precision 5480 14” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K55254WW,shopify,0,deny,manual,68.93,TRUE,TRUE,,,,active
privacy-filter-for-precision-5570-14-1610,Privacy Filter for Precision 5570 14” (16:10),<p>Privacy Filter for Precision 5570 14” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K55254WW,shopify,0,deny,manual,68.93,TRUE,TRUE,,,,active
privacy-filter-for-precision-5570-156-1610,Privacy Filter for Precision 5570 15.6” (16:10),<p>Privacy Filter for Precision 5570 15.6” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K55255WW,shopify,0,deny,manual,80.88,TRUE,TRUE,,,,active
wireless-presenter-remote,Wireless Presenter Remote,<p>Wireless Presenter Remote by Kensington for business and enterprise accessory needs.</p>,Kensington,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,KE33271WW,shopify,0,deny,manual,34.01,TRUE,TRUE,,,,active
goldtouch-ergonomic-keyboard-v2-mac,Goldtouch Ergonomic Keyboard v2 - Mac,<p>Goldtouch Ergonomic Keyboard v2 - Mac by Keytools for business and enterprise accessory needs.</p>,Keytools,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,SKU: E9803-CD,shopify,0,deny,manual,133.26,TRUE,TRUE,,,,active
freestyle2-for-mac,Freestyle2 for Mac,<p>Freestyle2 for Mac by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,"SKU# AC39014, Model# KB800HMB-us",shopify,0,deny,manual,182.89,TRUE,TRUE,,,,active
freestyle2-for-pc,Freestyle2 for PC,<p>Freestyle2 for PC by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,"SKU# AC39013, Model# KB800PB-us",shopify,0,deny,manual,197.60,TRUE,TRUE,,,,active
freestyle2-v3-accessory,Freestyle2 V3 Accessory,<p>Freestyle2 V3 Accessory by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,"SKU# AC39559, Model# AC730-blk",shopify,0,deny,manual,54.22,TRUE,TRUE,,,,active
s1-smartphone-stand,S1 Smartphone Stand,<p>S1 Smartphone Stand by Lamicall for business and enterprise accessory needs.</p>,Lamicall,,Stands & Mounts,"b2b-catalog,market:australia,stands-mounts",TRUE,Title,Default Title,"SKU# AC92066, Model# 60324",shopify,0,deny,manual,11.90,TRUE,TRUE,,,,active
lhxw-e-wireless-active-noise-cancelling-headphones-black-usb-c,LHXW-e Wireless Active Noise Cancelling Headphones - Black USB-C,<p>LHXW-e Wireless Active Noise Cancelling Headphones - Black USB-C by Lindy for business and enterprise accessory needs.</p>,Lindy,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,EDWH700NBB,shopify,0,deny,manual,90.99,TRUE,TRUE,,,,active
brio-505-full-hd-webcam,Brio 505 Full HD webcam,<p>Brio 505 Full HD webcam by Logitech for business and enterprise accessory needs.</p>,Logitech,,Webcams,"b2b-catalog,market:australia,webcams",TRUE,Title,Default Title,960-001461,shopify,0,deny,manual,152.81,TRUE,TRUE,,,,active
