Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
20w-usb-c-power-adapter,20W USB-C Power Adapter,<p>20W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,1000,deny,manual,30.18,TRUE,TRUE,,,,active
240w-usb-c-charge-cable-2-m,240W USB-C Charge Cable (2 m),<p>240W USB-C Charge Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,766,deny,manual,43.33,TRUE,TRUE,,,,active
60w-usb-c-charge-cable-1-m,60W USB-C Charge Cable (1 m),<p>60W USB-C Charge Cable (1 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,600,deny,manual,100.60,TRUE,TRUE,,,,active
67w-usb-c-power-adapter,67W USB-C Power Adapter,<p>67W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,562,deny,manual,128.45,TRUE,TRUE,,,,active
70w-usb-c-power-adapter,70W USB-C Power Adapter,<p>70W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,484,deny,manual,86.67,TRUE,TRUE,,,,active
96w-usb-c-power-adapter,96W USB-C Power Adapter,<p>96W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,481,deny,manual,105.24,TRUE,TRUE,,,,active
earpods-with-35-mm-headphone-plug,EarPods with 3.5 mm Headphone Plug,<p>EarPods with 3.5 mm Headphone Plug by Apple for business and enterprise accessory needs.</p>,Apple,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,440,deny,manual,30.18,TRUE,TRUE,,,,active
earpods-with-lightning-connector,EarPods with Lightning Connector,"<p>EarPods are wired earphones designed and marketed by Apple Inc. They were introduced in September 2012 alongside the iPhone 5 and replaced Apple’s earlier circular earbuds. EarPods are characterized by an asymmetric, contoured design intended to better fit the human ear and improve comfort and sound performance. The EarPods are available in three connector options: 3.5mm headphone, Lightning and USB-C. EarPods were previously bundled with various iPhone models from 2012 to 2020.</p>",Apple,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,425,deny,manual,30.18,TRUE,TRUE,,,,active
earpods-with-usb-c-connector,EarPods with USB-C Connector,<p>EarPods with USB-C Connector by Apple for business and enterprise accessory needs.</p>,Apple,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,264,deny,manual,30.18,TRUE,TRUE,,,,active
lightning-to-digital-av-adapter,Lightning to Digital AV Adapter,<p>Lightning to Digital AV Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,222,deny,manual,94.40,TRUE,TRUE,,,,active
magic-keyboard,Magic Keyboard,"<p>The Magic Keyboard is an Apple trademark used on several of their keyboards, referring to:Magic Keyboard (Mac), a wireless keyboard released by Apple in 2015
Magic Keyboard for iPad, a wireless keyboard with an integrated trackpad for use in iPads with a Smart Connector, released in 2020
The built-in keyboard of the MacBook Pro since 2019 and MacBook Air since 2020. Older Apple notebook keyboards that used the butterfly-switch mechanism do not use this brand name.</p>",Apple,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,185,deny,manual,183.45,TRUE,TRUE,,,,active
magic-keyboard-with-numeric-keypad-silver,Magic Keyboard with Numeric Keypad (Silver),<p>Magic Keyboard with Numeric Keypad (Silver) by Apple for business and enterprise accessory needs.</p>,Apple,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,173,deny,manual,204.28,TRUE,TRUE,,,,active
magic-keyboard-with-numeric-keypad-us-english-silver,Magic Keyboard with Numeric Keypad - US English - Silver,<p>Magic Keyboard with Numeric Keypad - US English - Silver by Apple for business and enterprise accessory needs.</p>,Apple,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,180,deny,manual,162.50,TRUE,TRUE,,,,active
magic-mouse-usbc-white-multi-touch-surface-fkamagic-mouse-3,Magic Mouse (USB‑C) - White Multi-Touch Surface (FKA:Magic Mouse 3),<p>Magic Mouse (USB‑C) - White Multi-Touch Surface (FKA:Magic Mouse 3) by Apple for business and enterprise accessory needs.</p>,Apple,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,0,deny,manual,100.60,TRUE,TRUE,,,,active
magic-mouse-3,Magic Mouse 3,"<p>The Magic Mouse is a multi-touch wireless computer mouse sold by Apple Inc. and manufactured by Foxconn. The first-generation Magic Mouse was released on October 20, 2009, and introduced multi-touch functionality to a computer mouse. Taking after the iPhone, iPod Touch, and multi-touch MacBook touchpads, the Magic Mouse allows the use of multi-touch gestures and inertia scrolling across the surface of the mouse, designed for use with macOS.</p>",Apple,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,160,deny,manual,100.60,TRUE,TRUE,,,,active
magic-trackpad-3,Magic Trackpad 3,"<p>Apple Inc. has designed and manufactured several models of mice, trackpads, and other pointing devices, primarily for use with Macintosh computers. Over the years, Apple has maintained a distinct form and function with its mice that reflect their design languages of that time. Apple's current external pointing devices are the Magic Mouse 2 and Magic Trackpad 2.</p>",Apple,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,130,deny,manual,162.50,TRUE,TRUE,,,,active
power-adapter-extension-cable-6ft,Power Adapter Extension Cable 6ft,<p>Power Adapter Extension Cable 6ft by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,123,deny,manual,30.18,TRUE,TRUE,,,,active
thunderbolt-3-usb-c-cable-08-m,Thunderbolt 3 (USB-C) Cable (0.8 m),<p>Thunderbolt 3 (USB-C) Cable (0.8 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,120,deny,manual,94.40,TRUE,TRUE,,,,active
usb-c-charge-cable-2-m,USB-C Charge Cable (2 m),<p>USB-C Charge Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,104,deny,manual,49.52,TRUE,TRUE,,,,active
usb-c-digital-av-multiport-adapter,USB-C Digital AV Multiport Adapter,<p>USB-C Digital AV Multiport Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,87,deny,manual,89.76,TRUE,TRUE,,,,active
usb-c-to-lightning-adapter,USB-C to Lightning Adapter,<p>USB-C to Lightning Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,63,deny,manual,49.52,TRUE,TRUE,,,,active
usb-c-to-lightning-cable-1m,"USB-C to Lightning Cable, 1m","<p>USB-C to Lightning Cable, 1m by Apple for business and enterprise accessory needs.</p>",Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,51,deny,manual,30.18,TRUE,TRUE,,,,active
usb-c-to-lightning-cable-2m,"USB-C to Lightning Cable, 2m","<p>USB-C to Lightning Cable, 2m by Apple for business and enterprise accessory needs.</p>",Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,27,deny,manual,49.52,TRUE,TRUE,,,,active
usb-c-to-magsafe-3-cable-2-m,USB-C to MagSafe 3 Cable (2 m),<p>USB-C to MagSafe 3 Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,26,deny,manual,86.67,TRUE,TRUE,,,,active
world-travel-adapter-kit,World Travel Adapter Kit,"<p>An adapter or adaptor is a device that converts attributes of one electrical device or system to those of an otherwise incompatible device or system. Some modify power or signal attributes, while others merely adapt the physical form of one connector to another.</p>",Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,21,deny,manual,78.52,TRUE,TRUE,,,,active
b3e-phonetablet-stand,B3E Phone/Tablet Stand,<p>B3E Phone/Tablet Stand by B3E for business and enterprise accessory needs.</p>,B3E,,Stands & Mounts,"b2b-catalog,market:china,stands-mounts",TRUE,Title,Default Title,,shopify,18,deny,manual,6.12,TRUE,TRUE,,,,active
hdmi-cable-with-ethernet-6ft-4k,"HDMI Cable with Ethernet, 6ft - 4k","<p>HDMI Cable with Ethernet, 6ft - 4k by Belkin for business and enterprise accessory needs.</p>",Belkin,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,17,deny,manual,44.94,TRUE,TRUE,,,,active
waverest-gel-mouse-pad-black,WaveRest® Gel Mouse Pad - Black,<p>WaveRest® Gel Mouse Pad - Black by Belkin for business and enterprise accessory needs.</p>,Belkin,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,15,deny,manual,24.48,TRUE,TRUE,,,,active
1200mbps-long-range-usb-wifi-adapter-for-pc-desktop-laptop-of-windows,"1200Mbps Long Range USB WiFi Adapter for PC, Desktop, Laptop of Windows","<p>1200Mbps Long Range USB WiFi Adapter for PC, Desktop, Laptop of Windows by BrosTrend for business and enterprise accessory needs.</p>",BrosTrend,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,12,deny,manual,0.00,TRUE,TRUE,,,,active
kc-6000-slim-keyboard-dell-layout,KC 6000 SLIM Keyboard (Dell Layout),<p>KC 6000 SLIM Keyboard (Dell Layout) by Cherry for business and enterprise accessory needs.</p>,Cherry,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,232.06,TRUE,TRUE,,,,active
kc-6000-slim-keyboard-mac-layout,KC 6000 SLIM Keyboard (Mac Layout),<p>KC 6000 SLIM Keyboard (Mac Layout) by Cherry for business and enterprise accessory needs.</p>,Cherry,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,232.06,TRUE,TRUE,,,,active
4k-dell-p2723qe-27-4k-usb-c-hub-monitor,"(4K) Dell P2723QE 27"" 4K USB-C Hub Monitor","<p>(4K) Dell P2723QE 27"" 4K USB-C Hub Monitor by Dell for business and enterprise accessory needs.</p>",Dell,,Docks & Hubs,"b2b-catalog,market:china,docks-hubs",TRUE,Title,Default Title,,shopify,0,deny,manual,425.59,TRUE,TRUE,,,,active
4k-dell-u2725qe-27-4k-usb-c-hub-monitor,"(4K) Dell U2725QE 27"" 4K USB-C Hub Monitor","<p>(4K) Dell U2725QE 27"" 4K USB-C Hub Monitor by Dell for business and enterprise accessory needs.</p>",Dell,,Docks & Hubs,"b2b-catalog,market:china,docks-hubs",TRUE,Title,Default Title,,shopify,0,deny,manual,425.59,TRUE,TRUE,,,,active
130w-usb-c-power-adapter,130W USB-C Power Adapter,<p>130W USB-C Power Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,0,deny,manual,54.17,TRUE,TRUE,,,,active
90w-usb-c-power-adapter,90W USB-C Power Adapter,<p>90W USB-C Power Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,479,deny,manual,37.14,TRUE,TRUE,,,,active
dell-pro-thunderbolt-4-smart-dock-sd25tb4,Dell Pro Thunderbolt 4 Smart Dock - SD25TB4,<p>Dell Pro Thunderbolt 4 Smart Dock - SD25TB4 by Dell for business and enterprise accessory needs.</p>,Dell,,Docks & Hubs,"b2b-catalog,market:china,docks-hubs",TRUE,Title,Default Title,,shopify,244,deny,manual,301.78,TRUE,TRUE,,,,active
dell-thunderbolt-dock-wd22tb4,Dell Thunderbolt Dock – WD22TB4,<p>Dell Thunderbolt Dock – WD22TB4 by Dell for business and enterprise accessory needs.</p>,Dell,,Docks & Hubs,"b2b-catalog,market:china,docks-hubs",TRUE,Title,Default Title,,shopify,70,deny,manual,301.78,TRUE,TRUE,,,,active
privacy-filter-for-156-laptop-dell-5540,"Privacy Filter for 15.6"" Laptop (Dell 5540)","<p>Privacy Filter for 15.6"" Laptop (Dell 5540) by Dell for business and enterprise accessory needs.</p>",Dell,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,58,deny,manual,72.43,TRUE,TRUE,,,,active
usb-c-to-ethernet-adapter,USB-C to Ethernet Adapter,<p>USB-C to Ethernet Adapter by Dell for business and enterprise accessory needs.</p>,Dell,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,26,deny,manual,23.21,TRUE,TRUE,,,,active
internal-card-wifi-6e-bluetooth-52-pcie-wlan-card-intel-ax210-5400mbits-wlan-network-card-adapter,"""Internal Card"" WiFi 6E Bluetooth 5.2 PCIE WLAN Card Intel AX210 5400Mbit/s WLAN Network Card Adapter","<p>""Internal Card"" WiFi 6E Bluetooth 5.2 PCIE WLAN Card Intel AX210 5400Mbit/s WLAN Network Card Adapter by EDUP for business and enterprise accessory needs.</p>",EDUP,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,23,deny,manual,0.00,TRUE,TRUE,,,,active
verticalmouse-4-left,VerticalMouse 4 Left,<p>VerticalMouse 4 Left by Evoluent for business and enterprise accessory needs.</p>,Evoluent,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,0,deny,manual,58.65,TRUE,TRUE,,,,active
verticalmouse-4-right,VerticalMouse 4 Right,<p>VerticalMouse 4 Right by Evoluent for business and enterprise accessory needs.</p>,Evoluent,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,0,deny,manual,66.24,TRUE,TRUE,,,,active
wireless-ac1200mbps-dual-band-pcie-wi-fi-adapter-with-bluetooth-42-24ghz-and-5ghz,Wireless AC1200Mbps Dual Band PCIE Wi-Fi Adapter with Bluetooth 4.2 (2.4GHz and 5GHz),<p>Wireless AC1200Mbps Dual Band PCIE Wi-Fi Adapter with Bluetooth 4.2 (2.4GHz and 5GHz) by FebSmart for business and enterprise accessory needs.</p>,FebSmart,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,0,deny,manual,15.56,TRUE,TRUE,,,,active
keyboard-wrist-rest,Keyboard Wrist Rest,<p>Keyboard Wrist Rest by Fellowes for business and enterprise accessory needs.</p>,Fellowes,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,168.41,TRUE,TRUE,,,,active
65w-usb-c-power-adapter,65W USB-C Power Adapter,<p>65W USB-C Power Adapter by HP for business and enterprise accessory needs.</p>,HP,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,0,deny,manual,27.98,TRUE,TRUE,,,,active
usb-c-power-adapter,USB-C Power Adapter,<p>USB-C Power Adapter by HP for business and enterprise accessory needs.</p>,HP,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,3000,deny,manual,27.98,TRUE,TRUE,,,,active
434362-wrist-gel-support-pad-and-mouse-mat-black-presidio-offering,"434362 / Wrist Gel Support Pad and Mouse Mat, Black (Presidio offering)","<p>434362 / Wrist Gel Support Pad and Mouse Mat, Black (Presidio offering) by IC INTRACOM for business and enterprise accessory needs.</p>",IC INTRACOM,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,2000,deny,manual,24.48,TRUE,TRUE,,,,active
go-air-pop-true-wireless-earbuds,GO AIR POP True Wireless Earbuds,<p>GO AIR POP True Wireless Earbuds by JLab for business and enterprise accessory needs.</p>,JLab,,Headsets & Audio,"b2b-catalog,market:china,headsets-audio",TRUE,Title,Default Title,,shopify,2000,deny,manual,204.26,TRUE,TRUE,,,,active
magnetic-privacy-filter-for-precision-5480-156-1610,Magnetic Privacy Filter for Precision 5480 15.6” (16:10),<p>Magnetic Privacy Filter for Precision 5480 15.6” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,2000,deny,manual,44.88,TRUE,TRUE,,,,active
magnetic-privacy-filter-for-precision-5570-133-169,Magnetic Privacy Filter for Precision 5570 13.3” (16:9),<p>Magnetic Privacy Filter for Precision 5570 13.3” (16:9) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,264,deny,manual,35.59,TRUE,TRUE,,,,active
magpro-elite-notebook-privacy-filter-14-macbook-pro,"MagPro Elite - notebook privacy filter (14"" MacBook Pro)","<p>MagPro Elite - notebook privacy filter (14"" MacBook Pro) by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,71.19,TRUE,TRUE,,,,active
magpro-elite-notebook-privacy-filter-16-macbook-pro,"MagPro Elite - notebook privacy filter (16"" MacBook Pro)","<p>MagPro Elite - notebook privacy filter (16"" MacBook Pro) by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,80.48,TRUE,TRUE,,,,active
orbit-wireless-trackball-with-scroll-ring,Orbit® Wireless Trackball with Scroll Ring,<p>Orbit® Wireless Trackball with Scroll Ring by Kensington for business and enterprise accessory needs.</p>,Kensington,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,127,deny,manual,44.88,TRUE,TRUE,,,,active
privacy-filter-for-27-widescreen-monitor,"Privacy Filter for 27"" Widescreen Monitor","<p>Privacy Filter for 27"" Widescreen Monitor by Kensington for business and enterprise accessory needs.</p>",Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,93,deny,manual,89.76,TRUE,TRUE,,,,active
privacy-filter-for-precision-5480-133-169,Privacy Filter for Precision 5480 13.3” (16:9),<p>Privacy Filter for Precision 5480 13.3” (16:9) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,24,deny,manual,35.59,TRUE,TRUE,,,,active
privacy-filter-for-precision-5480-14-1610,Privacy Filter for Precision 5480 14” (16:10),<p>Privacy Filter for Precision 5480 14” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,4.02,TRUE,TRUE,,,,active
privacy-filter-for-precision-5570-14-1610,Privacy Filter for Precision 5570 14” (16:10),<p>Privacy Filter for Precision 5570 14” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,40.24,TRUE,TRUE,,,,active
privacy-filter-for-precision-5570-156-1610,Privacy Filter for Precision 5570 15.6” (16:10),<p>Privacy Filter for Precision 5570 15.6” (16:10) by Kensington for business and enterprise accessory needs.</p>,Kensington,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,44.88,TRUE,TRUE,,,,active
wireless-presenter-remote,Wireless Presenter Remote,<p>Wireless Presenter Remote by Kensington for business and enterprise accessory needs.</p>,Kensington,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,0,deny,manual,35.85,TRUE,TRUE,,,,active
goldtouch-ergonomic-keyboard-v2-mac,Goldtouch Ergonomic Keyboard v2 - Mac,<p>Goldtouch Ergonomic Keyboard v2 - Mac by Keytools for business and enterprise accessory needs.</p>,Keytools,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,104.58,TRUE,TRUE,,,,active
freestyle2-for-mac,Freestyle2 for Mac,<p>Freestyle2 for Mac by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,0,deny,manual,104.58,TRUE,TRUE,,,,active
freestyle2-for-pc,Freestyle2 for PC,<p>Freestyle2 for PC by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,0,deny,manual,104.58,TRUE,TRUE,,,,active
freestyle2-v3-accessory,Freestyle2 V3 Accessory,<p>Freestyle2 V3 Accessory by Kinesis for business and enterprise accessory needs.</p>,Kinesis,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,0,deny,manual,402.22,TRUE,TRUE,,,,active
s1-smartphone-stand,S1 Smartphone Stand,<p>S1 Smartphone Stand by Lamicall for business and enterprise accessory needs.</p>,Lamicall,,Stands & Mounts,"b2b-catalog,market:china,stands-mounts",TRUE,Title,Default Title,,shopify,0,deny,manual,46.52,TRUE,TRUE,,,,active
lhxw-e-wireless-active-noise-cancelling-headphones-black-usb-c,LHXW-e Wireless Active Noise Cancelling Headphones - Black USB-C,<p>LHXW-e Wireless Active Noise Cancelling Headphones - Black USB-C by Lindy for business and enterprise accessory needs.</p>,Lindy,,Accessories,"b2b-catalog,market:china,accessories",TRUE,Title,Default Title,,shopify,0,deny,manual,0.00,TRUE,TRUE,,,,active
brio-505-full-hd-webcam,Brio 505 Full HD webcam,<p>Brio 505 Full HD webcam by Logitech for business and enterprise accessory needs.</p>,Logitech,,Webcams,"b2b-catalog,market:china,webcams",TRUE,Title,Default Title,,shopify,0,deny,manual,91.46,TRUE,TRUE,,,,active
corded-mouse-m500,Corded Mouse M500,<p>Corded Mouse M500 by Logitech for business and enterprise accessory needs.</p>,Logitech,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,0,deny,manual,49.37,TRUE,TRUE,,,,active
ergo-k860-ergonomic-split-keyboard,ERGO K860 Ergonomic Split - keyboard,<p>ERGO K860 Ergonomic Split - keyboard by Logitech for business and enterprise accessory needs.</p>,Logitech,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,118.04,TRUE,TRUE,,,,active
logitech-signature-k650-comfort-full-size-wireless-keyboard-with-wrist-rest-ble-bluetooth-or-logi-bolt-graphite,"Logitech Signature K650 Comfort Full-Size Wireless Keyboard with Wrist Rest, BLE Bluetooth or Logi Bolt, Graphite","<p>Logitech Signature K650 Comfort Full-Size Wireless Keyboard with Wrist Rest, BLE Bluetooth or Logi Bolt, Graphite by Logitech for business and enterprise accessory needs.</p>",Logitech,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,0,deny,manual,68.55,TRUE,TRUE,,,,active
m500s-adv-corded-mouse,M500S ADV Corded Mouse,<p>M500S ADV Corded Mouse by Logitech for business and enterprise accessory needs.</p>,Logitech,,Mice & Pointing Devices,"b2b-catalog,market:china,mice-pointing-devices",TRUE,Title,Default Title,,shopify,0,deny,manual,49.37,TRUE,TRUE,,,,active
